news_headline,news_article,news_category,full_text,clean_text,sentiment_score,sentiment_category
"Federer records 1,250th match win, enters 4th round at Wimbledon","World number eight Roger Federer recorded 1,250th match win of his career by defeating 29th seed Cameron Norrie 6-4, 6-4, 5-7, 6-4 in the third round at Wimbledon on Saturday. The 39-year-old reached the fourth round for the record-extending 18th time. Overall, it is Federer's 69th Grand Slam fourth round. Federer will face 23rd seed Lorenzo Sonego on Monday.",sports,"Federer records 1,250th match win, enters 4th round at Wimbledon. World number eight Roger Federer recorded 1,250th match win of his career by defeating 29th seed Cameron Norrie 6-4, 6-4, 5-7, 6-4 in the third round at Wimbledon on Saturday. The 39-year-old reached the fourth round for the record-extending 18th time. Overall, it is Federer's 69th Grand Slam fourth round. Federer will face 23rd seed Lorenzo Sonego on Monday.",federer record th match win enter th round wimbledon world number eight roger federer record th match win career defeat th seed cameron norrie third round wimbledon saturday year old reach fourth round record extend th time overall federer th grand slam fourth round federer face rd seed lorenzo sonego monday,0.117,positive
"Italian footballer rolling on ground in pain jumps to celebrate goal, video viral","A video of Italy forward Ciro Immobile rolling on ground in pain after allegedly injuring himself and then immediately jumping to celebrate his team's goal in 31st minute of Euro 2020 quarter-final against Belgium went viral. Several social media users accused Immobile of faking injury to try to win a penalty. ""Immobile should get Best Actor Oscar,"" a user tweeted.",sports,"Italian footballer rolling on ground in pain jumps to celebrate goal, video viral. A video of Italy forward Ciro Immobile rolling on ground in pain after allegedly injuring himself and then immediately jumping to celebrate his team's goal in 31st minute of Euro 2020 quarter-final against Belgium went viral. Several social media users accused Immobile of faking injury to try to win a penalty. ""Immobile should get Best Actor Oscar,"" a user tweeted.",italian footballer roll ground pain jump celebrate goal video viral video italy forward ciro immobile rolling ground pain allegedly injure immediately jump celebrate team goal st minute euro quarter final belgium go viral several social medium user accuse immobile fake injury try win penalty immobile get good actor oscar user tweet,0.117,positive
Sneh has a bigger role to play for India Women in coming years: Mithali,"After defeating England Women in the third and final ODI, India Women skipper Mithali Raj said that all-rounder Sneh Rana has a bigger role playing for India in the coming years. ""Sneh has definitely shown that she does have the character in her to be built into a good player,"" she added. India Women beat England Women by four wickets.
",sports,"Sneh has a bigger role to play for India Women in coming years: Mithali. After defeating England Women in the third and final ODI, India Women skipper Mithali Raj said that all-rounder Sneh Rana has a bigger role playing for India in the coming years. ""Sneh has definitely shown that she does have the character in her to be built into a good player,"" she added. India Women beat England Women by four wickets.
",sneh big role play india woman come year mithali defeat england woman third final odi india woman skipper mithali raj say rounder sneh rana big role playing india come year sneh definitely show character build good player add india woman beat england woman four wicket,0.117,positive
SLC responds after Ranatunga says ‘hosting second string Team India an insult',"After ex-Sri Lanka captain Arjuna Ranatunga said hosting series against 'second-string' India is an insult to Sri Lanka Cricket (SLC), the cricket board said India's white-ball team is a strong squad. It added 14 out of 20 players have represented India. It further said that India's Test squad is in England and maintaining separate squads is the new norm.",sports,"SLC responds after Ranatunga says ‘hosting second string Team India an insult'. After ex-Sri Lanka captain Arjuna Ranatunga said hosting series against 'second-string' India is an insult to Sri Lanka Cricket (SLC), the cricket board said India's white-ball team is a strong squad. It added 14 out of 20 players have represented India. It further said that India's Test squad is in England and maintaining separate squads is the new norm.",slc respond ranatunga say host second string team india insult ex sri lanka captain arjuna ranatunga say host series second string india insult sri lanka cricket slc cricket board say india white ball team strong squad add player represent india far say india test squad england maintain separate squad new norm,0.112,positive
Tunisia's Ons Jabeur 1st Arab woman to reach Wimbledon 4th round,"Tunisia's Ons Jabeur became the first Arab woman to reach the fourth round at Wimbledon after defeating 2017 champion Garbine Muguruza 5-7, 6-3, 6-2 in the third round on Friday. ""It means a lot. Especially so many Arab people watching me and supporting me. But I don't want the journey to stop here...I'm doing amazing,"" said Jabeur. 
",sports,"Tunisia's Ons Jabeur 1st Arab woman to reach Wimbledon 4th round. Tunisia's Ons Jabeur became the first Arab woman to reach the fourth round at Wimbledon after defeating 2017 champion Garbine Muguruza 5-7, 6-3, 6-2 in the third round on Friday. ""It means a lot. Especially so many Arab people watching me and supporting me. But I don't want the journey to stop here...I'm doing amazing,"" said Jabeur. 
",tunisia ons jabeur st arab woman reach wimbledon th round tunisia ons jabeur become first arab woman reach fourth round wimbledon defeat champion garbine muguruza third round friday mean lot especially many arab people watch I support I I not want journey stop I amazing say jabeur,0.104,positive
Serena Williams breaks down on court after retiring from Wimbledon 2021 in first round,"Twenty three-time Grand Slam champion Serena Williams broke down on court as she bowed out of Wimbledon 2021 after stopping play in her first-round match due to a leg injury. Serena was 3-1 up in the first set before she sustained the injury and retired when the scoreline read 3-3. ""I was heartbroken to have to withdraw,"" she later said.",sports,"Serena Williams breaks down on court after retiring from Wimbledon 2021 in first round. Twenty three-time Grand Slam champion Serena Williams broke down on court as she bowed out of Wimbledon 2021 after stopping play in her first-round match due to a leg injury. Serena was 3-1 up in the first set before she sustained the injury and retired when the scoreline read 3-3. ""I was heartbroken to have to withdraw,"" she later said.",serena william break court retire wimbledon first round twenty three time grand slam champion serena william break court bow wimbledon stop play first round match due leg injury serena first set sustain injury retire scoreline read I heartbroken withdraw later say,0.091,positive
"Dravid has great organisational skills, technical expertise: Butt ","Ex-Pakistan batsman Salman Butt said that Team India coach for Sri Lanka tour, Rahul Dravid, knows what to teach the youngsters and added he has that experience. ""India are hiring specialists to train their players...ones who are organisational specialists...Dravid obviously has organisational skills. Add to it, his technical expertise. He has proved himself in the toughest conditions,"" he added.",sports,"Dravid has great organisational skills, technical expertise: Butt . Ex-Pakistan batsman Salman Butt said that Team India coach for Sri Lanka tour, Rahul Dravid, knows what to teach the youngsters and added he has that experience. ""India are hiring specialists to train their players...ones who are organisational specialists...Dravid obviously has organisational skills. Add to it, his technical expertise. He has proved himself in the toughest conditions,"" he added.",dravid great organisational skill technical expertise butt ex pakistan batsman salman butt say team india coach sri lanka tour rahul dravid know teach youngster add experience india hire specialist train player one organisational specialist dravid obviously organisational skill add technical expertise prove tough condition add,0.082,positive
Germany's World Cup-winning midfielder Kroos retires from international football at 31,"Germany midfielder Toni Kroos has retired from international football aged 31. The 2014 World Cup winner represented Germany 106 times, scoring 17 goals, with his final match being the 0-2 defeat against England in Euro 2020 last 16 stage. Kroos said it was clear to him ""for a long time"" that he wouldn't be available for 2022 World Cup.",sports,"Germany's World Cup-winning midfielder Kroos retires from international football at 31. Germany midfielder Toni Kroos has retired from international football aged 31. The 2014 World Cup winner represented Germany 106 times, scoring 17 goals, with his final match being the 0-2 defeat against England in Euro 2020 last 16 stage. Kroos said it was clear to him ""for a long time"" that he wouldn't be available for 2022 World Cup.",germanys world cup win midfielder kroo retire international football germany midfielder toni kroo retire international football age world cup winner represent germany time score goal final match defeat england euro last stage kroo say clear long time would not available world cup,0.081,positive
1st batch of Indian athletes to leave on July 14 for Olympics: IOA,"First batch of Tokyo Olympics-bound Indian athletes will leave by a chartered flight on July 14, said IOA Secretary General Rajeev Mehta on Saturday. Mehta further informed that rest of the contingent will travel between July 16 and 19. Upon reaching Tokyo, all athletes and officials will have to serve three days of quarantine. Olympics will begin from July 23.
",sports,"1st batch of Indian athletes to leave on July 14 for Olympics: IOA. First batch of Tokyo Olympics-bound Indian athletes will leave by a chartered flight on July 14, said IOA Secretary General Rajeev Mehta on Saturday. Mehta further informed that rest of the contingent will travel between July 16 and 19. Upon reaching Tokyo, all athletes and officials will have to serve three days of quarantine. Olympics will begin from July 23.
",st batch indian athlete leave july olympic ioa first batch tokyo olympic bind indian athlete leave chartered flight july say ioa secretary general rajeev mehta saturday mehta far inform rest contingent travel july upon reach tokyo athlete official serve three day quarantine olympic begin july,0.075,positive
"Bats are like a neighbour's wife, they always feel better: Karthik during commentary","While commentating in second England-Sri Lanka ODI, Dinesh Karthik said batsmen and not liking bats go hand in hand. He added, ""Most...batters don't seem to like their bats. They either like another person's bat...Bats are like a neighbour's wife...they always feel better."" Several social media users joked Karthik might've been referring to Murali Vijay, who married Karthik's first wife Nikita.",sports,"Bats are like a neighbour's wife, they always feel better: Karthik during commentary. While commentating in second England-Sri Lanka ODI, Dinesh Karthik said batsmen and not liking bats go hand in hand. He added, ""Most...batters don't seem to like their bats. They either like another person's bat...Bats are like a neighbour's wife...they always feel better."" Several social media users joked Karthik might've been referring to Murali Vijay, who married Karthik's first wife Nikita.",bat like neighbour wife always feel well karthik commentary commentate second england sri lanka odi dinesh karthik say batsman not like bat go hand hand add batter not seem like bat either like another person bat bat like neighbour wife always feel well several social medium user joke karthik might refer murali vijay marry karthiks first wife nikita,0.071,positive
My ultimate goal is to become world champion: Youngest GM Abhimanyu,"Indian-origin American Abhimanyu Mishra, who recently became the youngest chess Grandmaster (GM) in history, aged 12 years, four months and 25 days, said his ultimate goal is to be the world champion. ""My next intermediate goal is to become a super grandmaster and I'm hoping to achieve that before age 15,"" he added. Abhimanyu became the youngest GM on Wednesday. ",sports,"My ultimate goal is to become world champion: Youngest GM Abhimanyu. Indian-origin American Abhimanyu Mishra, who recently became the youngest chess Grandmaster (GM) in history, aged 12 years, four months and 25 days, said his ultimate goal is to be the world champion. ""My next intermediate goal is to become a super grandmaster and I'm hoping to achieve that before age 15,"" he added. Abhimanyu became the youngest GM on Wednesday. ",ultimate goal become world champion young gm abhimanyu indian origin american abhimanyu mishra recently become young chess grandmaster gm history age year four month day say ultimate goal world champion next intermediate goal become super grandmaster I hope achieve age add abhimanyu become young gm wednesday,0.07,positive
FIFA confirms roster changes for Olympic football to include 22 players,"FIFA has confirmed that Olympic football rosters can include 22 players, but only 18 can be available for individual matches. Traditionally, Olympic rosters are 18 players and four alternates. The alternates can only be used in case of injury, and once replaced, a player cannot return. The change means that all 22 players are available to the participating teams.",sports,"FIFA confirms roster changes for Olympic football to include 22 players. FIFA has confirmed that Olympic football rosters can include 22 players, but only 18 can be available for individual matches. Traditionally, Olympic rosters are 18 players and four alternates. The alternates can only be used in case of injury, and once replaced, a player cannot return. The change means that all 22 players are available to the participating teams.",fifa confirm roster change olympic football include player fifa confirm olympic football roster include player available individual match traditionally olympic roster player four alternate alternate use case injury replace player not return change mean player available participate team,0.07,positive
Privilege to play against Sania and Bopanna at Wimbledon: Ankita,"After losing the mixed doubles first round at Wimbledon on Friday, Ankita Raina, who partnered with Ramkumar Ramanathan, said that it was a privilege to play against compatriots Sania Mirza and Rohan Bopanna. Ankita lost in the women's doubles first round as well. Notably, Sania and Ankita will represent India in women's doubles in the Tokyo Olympics.",sports,"Privilege to play against Sania and Bopanna at Wimbledon: Ankita. After losing the mixed doubles first round at Wimbledon on Friday, Ankita Raina, who partnered with Ramkumar Ramanathan, said that it was a privilege to play against compatriots Sania Mirza and Rohan Bopanna. Ankita lost in the women's doubles first round as well. Notably, Sania and Ankita will represent India in women's doubles in the Tokyo Olympics.",privilege play sania bopanna wimbledon ankita lose mixed double first round wimbledon friday ankita raina partner ramkumar ramanathan say privilege play compatriot sania mirza rohan bopanna ankita lose women double first round well notably sania ankita represent india women double tokyo olympic,0.067,positive
Euro 2020 crowds driving rise in COVID-19 infections: WHO,"Crowds at Euro 2020 football stadiums and in pubs in host cities are driving the current rise in coronavirus infections in Europe, the WHO said. Last week, new cases rose by 10%, driven by the mixing of crowds in Euro host cities, it said. Meanwhile, Scottish authorities said nearly 2,000 people have attended a Euro event while infectious with COVID-19.",sports,"Euro 2020 crowds driving rise in COVID-19 infections: WHO. Crowds at Euro 2020 football stadiums and in pubs in host cities are driving the current rise in coronavirus infections in Europe, the WHO said. Last week, new cases rose by 10%, driven by the mixing of crowds in Euro host cities, it said. Meanwhile, Scottish authorities said nearly 2,000 people have attended a Euro event while infectious with COVID-19.",euro crowd drive rise covid infection crowd euro football stadium pub host city drive current rise coronavirus infection europe say last week new case rise drive mixing crowd euro host city say meanwhile scottish authority say nearly people attend euro event infectious covid,0.059,positive
I wondered 'what cricket he would play' after seeing him in IPL 2008: Akmal on Kohli,"Pakistani wicketkeeper Kamran Akmal, who was a part of Rajasthan Royals squad in IPL 2008, said that he was ""so surprised"" to see Virat Kohli in the inaugural edition of IPL. ""I used to wonder what cricket he would play,"" Akmal added. ""But he has changed himself totally now, and he has become a role model for youngsters,"" Akmal stated.",sports,"I wondered 'what cricket he would play' after seeing him in IPL 2008: Akmal on Kohli. Pakistani wicketkeeper Kamran Akmal, who was a part of Rajasthan Royals squad in IPL 2008, said that he was ""so surprised"" to see Virat Kohli in the inaugural edition of IPL. ""I used to wonder what cricket he would play,"" Akmal added. ""But he has changed himself totally now, and he has become a role model for youngsters,"" Akmal stated.",I wonder cricket would play see ipl akmal kohli pakistani wicketkeeper kamran akmal part rajasthan royal squad ipl say surprised see virat kohli inaugural edition ipl I use wonder cricket would play akmal add change totally become role model youngster akmal state,0.05,positive
Virat Kohli-backed startup Digit reaches $3.5 billion valuation,"Fintech startup Digit, which had Team India Captain Virat Kohli, TVS Capital Funds and Canadian billionaire Prem Watsa as early backers, has reached $3.5 billion valuation after a fresh funding round. The startup, which provides health, travel and auto insurance, is raising $200 million from Sequoia Capital India and others, it said. Digit was founded in 2016 by Kamesh Goyal.",sports,"Virat Kohli-backed startup Digit reaches $3.5 billion valuation. Fintech startup Digit, which had Team India Captain Virat Kohli, TVS Capital Funds and Canadian billionaire Prem Watsa as early backers, has reached $3.5 billion valuation after a fresh funding round. The startup, which provides health, travel and auto insurance, is raising $200 million from Sequoia Capital India and others, it said. Digit was founded in 2016 by Kamesh Goyal.",virat kohli back startup digit reach billion valuation fintech startup digit team india captain virat kohli tvs capital fund canadian billionaire prem watsa early backer reach billion valuation fresh funding round startup provide health travel auto insurance raise million sequoia capital india say digit found kamesh goyal,0.05,positive
Denmark defeat Czech Republic 2-1 to reach Euro semi-finals after 29 years,"Denmark on Saturday defeated Czech Republic 2-1 in the Euro 2020 quarter-finals to reach the semi-finals of Euro for the first time after 29 years. Midfielder Thomas Delaney and forward Kasper Dolberg scored one goal each for 1992 champions Denmark in the first half, while Patrik Schick netted the only goal for Czech Republic in the 49th minute. ",sports,"Denmark defeat Czech Republic 2-1 to reach Euro semi-finals after 29 years. Denmark on Saturday defeated Czech Republic 2-1 in the Euro 2020 quarter-finals to reach the semi-finals of Euro for the first time after 29 years. Midfielder Thomas Delaney and forward Kasper Dolberg scored one goal each for 1992 champions Denmark in the first half, while Patrik Schick netted the only goal for Czech Republic in the 49th minute. ",denmark defeat czech republic reach euro semi final year denmark saturday defeat czech republic euro quarter final reach semi final euro first time year midfielder thoma delaney forward kasper dolberg score one goal champion denmark first half patrik schick net goal czech republic th minute,0.048,positive
Why swimming caps designed for natural Black hair have been banned at Olympics?,"Swimming caps designed by Soul Cap for natural Black hair that's thicker and voluminous aren't allowed at Tokyo Olympics as International Swimming Federation said they're ""unsuitable"" and don't fit ""natural form of head"". FINA said to its ""best knowledge, athletes competing at international events never used, neither require...caps of such...configuration"". Many black athletes condemned the move.",sports,"Why swimming caps designed for natural Black hair have been banned at Olympics?. Swimming caps designed by Soul Cap for natural Black hair that's thicker and voluminous aren't allowed at Tokyo Olympics as International Swimming Federation said they're ""unsuitable"" and don't fit ""natural form of head"". FINA said to its ""best knowledge, athletes competing at international events never used, neither require...caps of such...configuration"". Many black athletes condemned the move.",swimming cap design natural black hair ban olympic swimming cap design soul cap natural black hair thick voluminous not allow tokyo olympic international swimming federation say unsuitable not fit natural form head fina say good knowledge athlete compete international event never use neither require cap configuration many black athlete condemn move,0.042,positive
Woman who caused dozens of riders to fall at Tour de France with her cardboard sign arrested,"The woman who caused a massive pile-up during first stage of Tour de France with her cardboard sign has been arrested and is in custody at a police station in Landerneau. Dozens of riders fell after German Tony Martin rode into the 30-year-old woman's sign, which read, ""Allez Opi-Omi (Come on granddad-granny)."" She was looking at cameras when crash happened.",sports,"Woman who caused dozens of riders to fall at Tour de France with her cardboard sign arrested. The woman who caused a massive pile-up during first stage of Tour de France with her cardboard sign has been arrested and is in custody at a police station in Landerneau. Dozens of riders fell after German Tony Martin rode into the 30-year-old woman's sign, which read, ""Allez Opi-Omi (Come on granddad-granny)."" She was looking at cameras when crash happened.",woman cause dozen rider fall tour de france cardboard sign arrest woman cause massive pile first stage tour de france cardboard sign arrest custody police station landerneau dozen rider fall german tony martin ride year old woman sign read allez opi omi come granddad granny look camera crash happen,0.042,positive
England defeat Ukraine 4-0 to reach Euro semi-finals for 1st time after 25 years,"England defeated Ukraine 4-0 in the Euro 2020 quarter-finals in Rome to reach the Euro semi-finals for the first time after 25 years. England captain Harry Kane scored in the fourth minute and the 50th minute, while Harry Maguire and Jordan Henderson scored the other two goals. England will now face Denmark in the semi-finals.",sports,"England defeat Ukraine 4-0 to reach Euro semi-finals for 1st time after 25 years. England defeated Ukraine 4-0 in the Euro 2020 quarter-finals in Rome to reach the Euro semi-finals for the first time after 25 years. England captain Harry Kane scored in the fourth minute and the 50th minute, while Harry Maguire and Jordan Henderson scored the other two goals. England will now face Denmark in the semi-finals.",england defeat ukraine reach euro semi final st time year england defeat ukraine euro quarter final rome reach euro semi final first time year england captain harry kane score fourth minute th minute harry maguire jordan henderson score two goal england face denmark semi final,0.042,positive
What world records have been broken recently ahead of Tokyo Olympics?,"US' Ryan Crouser set the shot put world record after throwing a distance of 23.37 metres, breaking a 31-year-old record of 23.12 metres set by his compatriot Randy Barnes. Ethiopia's long-distance runner Letesenbet Gidey broke the 10,000-m race world record by clocking 29:01.03. Norway's Karsten Warholm finished the men's 400m hurdle in 46.70 seconds to set a new world record.",sports,"What world records have been broken recently ahead of Tokyo Olympics?. US' Ryan Crouser set the shot put world record after throwing a distance of 23.37 metres, breaking a 31-year-old record of 23.12 metres set by his compatriot Randy Barnes. Ethiopia's long-distance runner Letesenbet Gidey broke the 10,000-m race world record by clocking 29:01.03. Norway's Karsten Warholm finished the men's 400m hurdle in 46.70 seconds to set a new world record.",world record break recently ahead tokyo olympic ryan crouser set shot put world record throw distance metre break year old record metre set compatriot randy barne ethiopias long distance runner letesenbet gidey break race world record clock norway karsten warholm finish men hurdle second set new world record,0.037,positive
Indian-origin American Abhimanyu Mishra becomes youngest ever chess Grandmaster at 12,"Indian-origin American Abhimanyu Mishra has become the youngest chess Grandmaster (GM) aged 12 years, four months and 25 days. The New Jersey boy scored his third GM norm in Budapest, having already crossed the required 2,500 Elo rating barrier. Abhimanyu broke the 19-year-old record held by Russian Grandmaster Sergey Karjakin, who earned the title aged 12 years and 7 months.",sports,"Indian-origin American Abhimanyu Mishra becomes youngest ever chess Grandmaster at 12. Indian-origin American Abhimanyu Mishra has become the youngest chess Grandmaster (GM) aged 12 years, four months and 25 days. The New Jersey boy scored his third GM norm in Budapest, having already crossed the required 2,500 Elo rating barrier. Abhimanyu broke the 19-year-old record held by Russian Grandmaster Sergey Karjakin, who earned the title aged 12 years and 7 months.",indian origin american abhimanyu mishra become young ever chess grandmaster indian origin american abhimanyu mishra become young chess grandmaster gm aged year four month day new jersey boy score third gm norm budap already cross require elo rating barrier abhimanyu break year old record hold russian grandmaster sergey karjakin earn title age year month,0.034,positive
Mithali breaks world record for most runs across formats in women's int'l cricket,"India Women ODI captain Mithali Raj has broken the world record for scoring the most runs across formats in women's international cricket. The 38-year-old has now scored 10,337 runs across formats. She overtook ex-England Women batter Charlotte Edwards, who scored 10,273 runs across formats. Mithali scored 75* to help India Women beat England Women in third ODI on Saturday.",sports,"Mithali breaks world record for most runs across formats in women's int'l cricket. India Women ODI captain Mithali Raj has broken the world record for scoring the most runs across formats in women's international cricket. The 38-year-old has now scored 10,337 runs across formats. She overtook ex-England Women batter Charlotte Edwards, who scored 10,273 runs across formats. Mithali scored 75* to help India Women beat England Women in third ODI on Saturday.",mithali break world record run across format women intl cricket india woman odi captain mithali raj break world record score run across format women international cricket year old score run across format overtake ex england woman batter charlotte edward score run across format mithali score help india woman beat england woman third odi saturday,0.033,positive
How on earth is that not a wide: Dale Steyn on umpire's blunder in T20I,"South African fast bowler Dale Steyn took to Twitter to criticise umpire's blunder in the 19th over of South Africa's innings in the fifth T20I against West Indies. The umpire did not signal the ball as wide despite it being over the batsman's helmet and down the leg-side. ""How on earth is that not a wide,"" Steyn tweeted.",sports,"How on earth is that not a wide: Dale Steyn on umpire's blunder in T20I. South African fast bowler Dale Steyn took to Twitter to criticise umpire's blunder in the 19th over of South Africa's innings in the fifth T20I against West Indies. The umpire did not signal the ball as wide despite it being over the batsman's helmet and down the leg-side. ""How on earth is that not a wide,"" Steyn tweeted.",earth not wide dale steyn umpire blunder ti south african fast bowler dale steyn take twitter criticise umpire blunder th south africa innings fifth ti west indie umpire not signal ball wide despite batsman helmet leg side earth not wide steyn tweet,0.033,positive
"Murray loses in Wimbledon 3rd round, his earliest exit in 16 years","Two-time champion Andy Murray suffered his earliest exit in Wimbledon in 16 years after losing to world number 12 Denis Shapovalov 4-6, 2-6, 2-6 in third-round on Friday. Murray was back in singles at Wimbledon for the first time since 2017 after two hip surgeries. The 34-year old was playing just his eighth match on the main tour in 2021.",sports,"Murray loses in Wimbledon 3rd round, his earliest exit in 16 years. Two-time champion Andy Murray suffered his earliest exit in Wimbledon in 16 years after losing to world number 12 Denis Shapovalov 4-6, 2-6, 2-6 in third-round on Friday. Murray was back in singles at Wimbledon for the first time since 2017 after two hip surgeries. The 34-year old was playing just his eighth match on the main tour in 2021.",murray lose wimbledon rd round early exit year two time champion andy murray suffer early exit wimbledon year lose world number denis shapovalov third round friday murray back single wimbledon first time since two hip surgery year old play eighth match main tour,0.025,positive
Who will play whom in the quarter-finals of Euro 2020?,"World number one Belgium, who defeated defending champions Portugal in the round of 16, will face 1968 champions Italy in the Euro 2020 quarter-finals. Switzerland, who defeated two-time champions France, will face three-time champions Spain in their first-ever Euro quarter-finals. Further, Czech Republic will play against Denmark, while England will face Ukraine.",sports,"Who will play whom in the quarter-finals of Euro 2020?. World number one Belgium, who defeated defending champions Portugal in the round of 16, will face 1968 champions Italy in the Euro 2020 quarter-finals. Switzerland, who defeated two-time champions France, will face three-time champions Spain in their first-ever Euro quarter-finals. Further, Czech Republic will play against Denmark, while England will face Ukraine.",play quarter final euro world number one belgium defeat defend champion portugal round face champion italy euro quarter final switzerland defeat two time champion france face three time champion spain first ever euro quarter final far czech republic play denmark england face ukraine,0.025,positive
